itemname,iteminfo,itemprice
Volkswagen Polo 1.4 2006,"64,000km, Hatchback, 1389cc petrol engine, automatic","$5,500 "
Toyota Estima 2008,"109,948km, Van, 2362cc petrol engine, automatic","$12,500"
Mazda Demio 2 /NEW SHAPE 2009,"76,591km, Hatchback, 1300cc petrol engine, automatic","$6,490"
Toyota Blade G/ BODYKIT/ LOW KMS/ REVERSE ... 2008,"52,241km, Hatchback, 2400cc petrol engine, automatic","$10,990"
BMW 320i M SPECK 2001,"160,869km, Sedan, 2170cc petrol engine, automatic",
Mazda Atenza 2002,"117,000km, Sedan, 2260cc petrol engine, tiptronic","$7,799 "
Toyota Corolla Gx 2011,"88,800km, Hatchback, 1798cc petrol engine, manual","$12,790"
"Holden Commodore VL 3.0 GTS ""BARN FIND"" 1987","77,000km, Sedan, 2968cc petrol engine, manual","$18,950"
Toyota Hilux D/C 2004,"461,575km, Ute, 2986cc diesel engine, manual","$7,000 "
Mazda 3 GLX SPORTHATCH (NZNEW) 2013,"81,880km, Hatchback, 2000cc petrol engine, automatic","$16,450"
Toyota Land Cruiser Td 2011,"118,500km, Ute, 4461cc diesel engine, manual","$49,000 "
Toyota Prius G 2012,"88,023km, Hatchback, 1797cc hybrid engine, automatic","$16,500"
Austin Healey Sprite Frogeye 1960,"32,541km, Convertible, 948cc petrol engine, manual",
Chevrolet Optra 2005,"95,567km, Station Wagon, 1998cc petrol engine, automatic","$3,000"
Suzuki Swift Sport 2006,"149,575km, Hatchback, 1586cc petrol engine, automatic","$7,900 "
Volkswagen Passat AllTrack TDi 125Kw 2013,"162,394km, Station Wagon, 1968cc diesel engine, automatic","$18,800"
Nissan Datsun 620 1973,"11,111km, Ute, 1500cc petrol engine, manual","$9,500"
Holden HSV GTS Gts 30Th Anniversary Sedan HSV 2017,"< 1000km, Sedan, 6162cc petrol engine, automatic","$120,000 "
Honda Odyssey 2002,"120,980km, Station Wagon, 2253cc petrol engine, automatic","$3,200"
Subaru Legacy 2003,"110,573km, Station Wagon, 2999cc petrol engine, automatic","$7,500 "
